month,day,TIME,TOTAL_FP_IDEX,DSP_CNT_IDEX,clustering,score
5,3,4,-0.5128733974772518,0.22222222222222224,13,3
3,1,0,-0.5126395532596848,0.2803738317757009,7,7
4,2,0,-0.5125105859143588,0.1098901098901099,16,1
3,17,1,-0.5121380235066733,0.2,13,3
1,6,5,-0.5117580799096934,0.1904761904761905,13,3
1,2,0,-0.5113691491842067,0.10101010101010102,16,1
10,1,4,-0.5095426018132119,0.05494505494505495,16,1
3,11,4,-0.5092539456471364,0.09708737864077668,16,1
11,15,0,-0.5084150980652418,0.13986013986013987,16,1
5,3,5,-0.5083069382398203,0.07246376811594203,16,1
5,3,2,-0.507888076629523,0.22556390977443608,13,3
11,8,0,-0.5078735799394672,0.07092198581560283,16,1
10,13,0,-0.5077857896561937,0.09345794392523364,16,1
10,2,5,-0.507684714378797,0.055248618784530384,16,1
1,25,4,-0.5072738665696372,0.11049723756906077,16,1
7,12,2,-0.5071046557755657,0.06666666666666667,16,1
3,9,3,-0.5068294252045178,0.32608695652173914,7,7
3,4,0,-0.5067476205134545,0.1020408163265306,16,1
6,7,0,-0.5065479820809854,0.072992700729927,16,1
4,1,5,-0.5061336803242473,0.30612244897959184,7,7
4,5,0,-0.5052900276070196,0.3508771929824561,7,7
6,7,2,-0.5052352163191127,0.13986013986013987,16,1
9,6,5,-0.5050112667239464,0.07352941176470588,16,1
8,2,4,-0.5050067697044202,0.1282051282051282,16,1
10,14,0,-0.5038756372429456,0.18181818181818182,13,3
3,3,4,-0.5027486659670944,0.30612244897959184,7,7
4,3,0,-0.5022716318732137,0.10752688172043012,16,1
11,12,5,-0.5015192113655103,0.09345794392523364,16,1
6,1,0,-0.5013429885166888,0.3125,7,7
10,3,2,-0.5012362349550834,0.12903225806451613,16,1
5,20,3,-0.5010738749383401,0.09259259259259259,16,1
4,1,2,-0.5008682125539134,0.11111111111111112,16,1
4,12,1,-0.500767753033793,0.3278688524590164,7,7
5,3,3,-0.5006210944005308,0.14492753623188406,16,1
3,1,1,-0.4999148755152597,0.18181818181818182,13,3
6,3,0,-0.4998581926681129,0.41666666666666663,7,7
5,12,0,-0.4994223199772964,0.09345794392523364,16,1
10,27,0,-0.4986222075121903,0.17391304347826086,13,3
3,10,3,-0.49856431861854905,0.2127659574468085,13,3
10,2,3,-0.4984945425397854,0.17142857142857143,13,3
4,5,6,-0.4984922522109705,0.15151515151515152,16,1
7,5,0,-0.49797707446349615,0.136986301369863,16,1
3,4,3,-0.49736070203835325,0.3125,7,7
4,6,0,-0.4973570792072905,0.1020408163265306,16,1
3,15,4,-0.49724665351961855,0.08771929824561403,16,1
5,6,3,-0.49658232987014417,0.21052631578947367,13,3
11,12,1,-0.494851638625777,0.18867924528301885,13,3
